estFinal_ps11	sdFinal_ps11	X1	X2	estFinal_ps10	sdFinal_ps10	X1.1	X2.1	estFinal_ps01	sdFinal_ps01	X1.2	X2.2
window7	-0.687292081494891	0.836649788568286	-2.33572589203526	0.961141729045476	0.0261782975074878	2.58313954699256	-5.06700279513006	5.11935939014504	0.0575459771143657	0.67230619338307	-1.26699055207155	1.38208250630028
window8	-0.557015280357029	0.786876493071772	-2.10709234885267	0.993061788138614	-0.000714871152834562	1.0568716802114	-2.08395290885629	2.08252316655062	0.0315645759329357	0.517025516793213	-0.986507479716629	1.0496366315825
window9	0.720024018488159	0.69021012137064	-0.638936413137106	2.07898445011342	1.27647907697944	1.04309727543561	-0.778598258110371	3.33155641206926	1.52177041399118	0.761951674567628	0.0208144623254862	3.02272636565688
window10	0.741202565151889	0.853836574362953	-0.940257871758063	2.42266300206184	1.86795549595749	1.68036046912857	-1.44407726262324	5.17998825453822	0.825939887503044	0.576790329960662	-0.309732730752826	1.96161250575891
window11	-1.11591987923869	0.83374330570938	-2.75620373842796	0.524363979950584	-1.69349755393673	1.68945348369122	-5.02289279531094	1.63589768743749	0.110755049232489	0.84294214107909	-1.54883235993117	1.77034245839615
window12	-0.0196245269644455	0.687605455057229	-1.37383074405465	1.33458169012576	-0.415452842225995	0.936459443304854	-2.26069682127454	1.42979113682255	-0.367722668910024	0.904659421652198	-2.15080178361528	1.41535644579523
window13	-2.69370454469647	2.25637496545915	-7.14232101425042	1.75491192485749	-2.82912180524703	2.39845153988099	-7.55799324959558	1.89974963910152	-2.74936082275456	2.82298151593934	-8.31539248478466	2.81667083927554
window14	0.431104413171206	0.570307561627216	-0.691237661846111	1.55344648818852	1.00994514851923	1.503317162793	-1.95339636048422	3.97328665752268	0.412504162066132	1.38750682483039	-2.32250530434494	3.1475136284772
window15	0.779078647789638	0.835442126454489	-0.866785766769466	2.42494306234874	2.07476842441565	1.47545161824119	-0.833771001279983	4.98330785011129	1.16112342996952	1.54046368807777	-1.87592984546154	4.19817670540058
window16	1.94018755402003	1.05235437947507	-0.133016204017076	4.01339131205714	1.67493869179726	1.50346119231953	-1.28831208703471	4.63818947062924	1.63938367709929	2.60802909040761	-3.50282821073353	6.7815955649321
window17	0.0421036952625589	0.534183670053515	-1.00931261378776	1.09352000431288	-0.921933007881437	1.39041360428756	-3.66289088847818	1.81902487271531	-1.26974923818137	1.72477624703021	-4.67005457394752	2.13055609758477
window18	0.260912910898419	0.480565552758231	-0.68448268686178	1.20630850865862	-0.81280600572095	0.806741029808061	-2.40167980906725	0.776067797625349	1.10899539653249	3.38133945556241	-5.55835203241278	7.77634282547775
window19	0.152351881048096	0.492859353158653	-0.815974450951384	1.12067821304757	0.0772766591747624	0.602143651883555	-1.10618932344861	1.26074264179813	0.705194773206247	0.877047169245778	-1.02279100735697	2.43318055376946
window20	0.232503726304245	0.489956430565621	-0.730906221728781	1.19591367433727	-0.112600819873216	0.593512891170617	-1.2804693381725	1.05526769842606	0.321946657635204	1.05480155222896	-1.75622360834458	2.40011692361498
window21	1.09995996420744	0.66646951639603	-0.210432815248558	2.41035274366344	-0.0634185064737468	0.911042756209988	-1.85746150297471	1.73062449002722	1.12552222056714	0.816166379342795	-0.481745244830226	2.7327896859645
