estFinal_ps11_all	sdFinal_ps11_all	X1	X2	estFinal_ps10_all	sdFinal_ps10_all	X1.1	X2.1	estFinal_ps01_all	sdFinal_ps01_all	X1.2	X2.2
window7	-0.94660034493372	0.808653852516583	-2.53993865035256	0.646737960485119	-0.189421710534615	2.5433557029591	-5.20423042892989	4.82538700786066	-0.0644501135384655	0.64758911065675	-1.34045286685012	1.21155263977319
window8	-0.862013531516315	0.883945414577567	-2.60369950821577	0.879672445183134	-0.458278118104462	1.10288573756597	-2.6322480644696	1.71569182826068	-0.369321597662046	0.561187395152207	-1.47464454870708	0.736001353382987
window9	0.606705142646504	0.757380640600831	-0.885389172164681	2.09879945745769	2.06470343342437	1.22340423602306	-0.346602988579856	4.47600985542859	1.25997312542522	0.74749400494543	-0.212868261516919	2.73281451236737
window10	1.97258635978745	3.36299299868164	-4.65802286448518	8.60319558406007	1.90269785980587	3.15073125021754	-4.30983877218687	8.1152344917986	0.592304086096893	0.544382147148162	-0.479878154963565	1.66448632715735
window11	-1.80290248758427	1.42949935402362	-4.6206618084086	1.01485683324007	-2.11518784849919	2.15239915141156	-6.35887568089574	2.12849998389736	0.0794233829927856	0.672857261063554	-1.24607408020523	1.4049208461908
window12	-0.0254965433508315	0.853233981376102	-1.70685036309412	1.65585727639246	0.0229944596545951	1.10605713860251	-2.15709181036657	2.20308072967576	-0.465523651901537	0.962100367727757	-2.36210671769289	1.43105941388981
window13	-2.799899574598	2.60950234201818	-7.94513088921351	2.34533174001751	-2.85421895318804	2.98591043358084	-8.74181374298854	3.03337583661246	-1.88212339534258	2.58126624833363	-6.97172803924066	3.2074812485555
window14	-0.204956694208971	0.64121296803374	-1.46791826377777	1.05800487535982	0.431121316546637	1.75543772547721	-3.02985083172431	3.89209346481759	0.816818940008715	3.59095401790289	-6.2638305082333	7.89746838825073
window15	0.649539785661411	0.942276038582111	-1.20754965611842	2.50662922744124	1.98862324856986	1.52544272663315	-1.0187817656836	4.99602826282331	1.26339267835148	1.49709959593512	-1.68829384013273	4.21507919683569
window16	1.89172811091444	0.77844989390862	0.357832067690192	3.42562415413868	2.42338730786695	2.14814954184792	-1.81218865611888	6.65896327185277	1.06817590470658	1.8522580336841	-2.58376367601259	4.72011548542575
window17	-0.29587489547705	0.642550472313971	-1.56152901405686	0.969779223102759	-0.594606705346437	1.80975985592141	-4.16273320406308	2.97351979337021	-0.634310175012291	2.49055809237036	-5.54485616016438	4.2762358101398
window18	0.323602258213203	0.553863728599503	-0.766903348193873	1.41410786462028	-0.707143928666653	0.82577593566363	-2.33422919539049	0.919941338057187	1.64299432983885	2.97093299643508	-4.21507031065421	7.5010589703319
window19	0.41517478356462	0.492306144640567	-0.553641826174837	1.38399139330408	1.11605537607858	1.2308914147452	-1.31025481901934	3.5423655711765	0.695597140419758	0.888492762078408	-1.05573809809743	2.44693237893694
window20	0.287691327779307	0.543290149438251	-0.781596708640807	1.35697936419942	0.216819894493568	0.614881153557549	-0.994117455012463	1.4277572439996	0.96560838771595	2.93758299477863	-4.82643044815812	6.75764722359002
window21	1.4853016017618	0.571784303666077	0.360120042286973	2.61048316123662	-0.574736014296957	0.892853513600948	-2.33401457593371	1.1845425473398	1.13612030918848	0.700450162912285	-0.24388124021661	2.51612185859358
