V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-8.1474875747688	0.786900464325084	-9.68981248484596	-6.60516266469163	-6.05714302200887	2.70029296426527	-11.3497172319688	-0.764568812048943	-5.30325082601401	0.813380369787307	-6.89747635079714	-3.70902530123089
-7.3579585925874	0.661265952907316	-8.65403986028574	-6.06187732488906	-7.91315986058444	1.99005559745398	-11.8136688315942	-4.01265088957464	-5.78360810540968	0.689976917828988	-7.1359628643545	-4.43125334646487
-7.18309042027743	0.567442268386366	-8.29527726631471	-6.07090357424015	-4.93701190923292	2.06356829788063	-8.98160577307895	-0.892418045386887	-4.65980232239238	0.795389569800472	-6.21876587920131	-3.10083876558345
-8.38987214213731	0.606767745354674	-9.57913692303247	-7.20060736124214	-11.4790387894946	1.20434419102524	-13.8395534039041	-9.1185241750851	-5.64064999324899	0.578445442056953	-6.77440305968062	-4.50689692681736
-9.0495281394654	0.52137178740616	-10.0714168427815	-8.02763943614933	-12.5511873984779	1.98508125002912	-16.441946648535	-8.66042814842087	-7.56048050662164	0.832913267798276	-9.19299051150626	-5.92797050173702
-8.715415938494	0.48465755845568	-9.66534475306713	-7.76548712392086	-11.0212533684357	1.84364224745567	-14.6347921734488	-7.40771456342257	-6.21789285151305	0.93491477819197	-8.05032581676931	-4.38545988625679
-8.88009838531641	0.501844839908538	-9.86371427153715	-7.89648249909568	-10.9081312552766	2.43395918576615	-15.6786912593783	-6.13757125117496	-7.14522876176353	1.16756197173829	-9.43365022637058	-4.85680729715648
-8.73006469375258	0.539241628183431	-9.7869782849921	-7.67315110251305	-8.09661380208337	3.04583246914349	-14.0664454416046	-2.12678216256213	-6.08852083538034	0.899299487494135	-7.85114783086884	-4.32589383989183
-7.90312572450979	0.513883617850704	-8.91033761549717	-6.89591383352241	-13.1849082122789	2.16988111843185	-17.4378752044054	-8.9319412201525	-3.74596218557875	1.25484135581329	-6.20545124297279	-1.2864731281847
-7.89483801793751	0.549202967048534	-8.97127583335263	-6.81840020252238	-6.98321119805009	2.5712661355828	-12.0228928237924	-1.9435295723078	-5.19510936590418	0.919281412961224	-6.99690093530818	-3.39331779650018
-7.69715745282442	0.566595303000055	-8.80768424670453	-6.58663065894432	-8.95288372399211	1.70327387532379	-12.2913005196267	-5.61446692835748	-4.83118432626903	1.09136021625971	-6.97025035013807	-2.69211830239999
-6.79155049495273	0.598225209602166	-7.96407190577298	-5.61902908413249	-9.74826782887536	1.44404607714108	-12.5785981400719	-6.91793751767884	-7.67111276758648	1.51302838103111	-10.6366483944075	-4.7055771407655
-5.53121591776335	0.693931822436672	-6.89132228973923	-4.17110954578748	-7.78165124957018	1.22629424522957	-10.1851879702201	-5.37811452892023	-3.07453693121164	1.34323115310134	-5.70726999129027	-0.441803871133017
-5.37186188173733	0.699082452256705	-6.74206348816047	-4.00166027531419	-4.65711281785366	1.32903725601722	-7.2620258396474	-2.05219979605992	-6.327944701192	1.27089723340558	-8.81890327866694	-3.83698612371706
-5.05945979352994	0.705563167832456	-6.44236360248156	-3.67655598457833	-10.4033003283417	1.73358800761295	-13.8011328232631	-7.00546783342036	-4.4234666125724	1.11109632201171	-6.60121540371534	-2.24571782142945
