estFinal_ps11	sdFinal_ps11	X1	X2	estFinal_ps10	sdFinal_ps10	X1.1	X2.1	estFinal_ps01	sdFinal_ps01	X1.2	X2.2
25.6213867570265	0.501672871971949	24.6362108545422	26.6065626595109	12.6446286784684	0.33192350821812	11.9921471512695	13.2971102056673	10.7093042871888	0.128899809782975	10.4561445581976	10.96246401618
25.4615052902362	0.480870469646603	24.5175172763397	26.4054933041328	12.8113031961141	0.349589024540165	12.1241997418104	13.4984066504178	10.5584117239458	0.129141800548915	10.3047231561692	10.8121002917224
25.4427878154892	0.60244468540274	24.2589484020105	26.626627228968	12.7919012519274	0.389572976043543	12.025919975602	13.5578825282527	10.5666005355838	0.123696100201715	10.3236511034524	10.8095499677151
25.0573632252743	0.490658984488742	24.0936385854625	26.0210878650862	12.2278729581768	0.33185240946538	11.5754968389225	12.8802490774311	10.5234525308226	0.125403780850968	10.2772417665254	10.7696632951197
25.6588342494736	0.494693348923584	24.6873833515717	26.6302851473754	12.9886576853309	0.346457018149281	12.3077546770257	13.6695606936362	10.5856476518928	0.12992580085511	10.3304281724189	10.8408671313666
25.8073319358651	0.624546884683368	24.5795077900039	27.0351560817262	12.8898733583697	0.438378369953676	12.0273595083777	13.7523872083616	10.5117994073961	0.136501317645352	10.2435632828603	10.780035531932
25.6581462547338	0.521281003828391	24.6344695101443	26.6818229993232	12.8405480649629	0.357288674519547	12.1383520379688	13.5427440919571	10.5382205997669	0.122089824417985	10.2983596076293	10.7780815919045
25.3121537897918	0.456517927460245	24.4157948619242	26.2085127176595	12.5994991334094	0.299498665080621	12.0110747944921	13.1879234723266	10.3815653824073	0.123574212234338	10.1388832001669	10.6242475646477
24.8648733558553	0.439942361042437	24.0012028794835	25.7285438322271	12.5543366394753	0.305160656565524	11.9548128348054	13.1538604441452	10.5621306771536	0.151542410648515	10.2642357026324	10.8600256516747
25.9035036171126	0.52359964825681	24.8751730992099	26.9318341350154	12.9419946876324	0.342635297332967	12.2687012152411	13.6152881600237	10.5862359871618	0.111186185832765	10.3679225936509	10.8045493806727
25.0341282357561	0.59258138731387	23.8690843663496	26.1991721051625	12.6590887029177	0.38054534670503	11.9107646365862	13.4074127692491	10.5416556999453	0.136454815704459	10.2735434806354	10.8097679192552
25.0618792243618	0.449308651997253	24.1799236550624	25.9438347936612	12.6154839536196	0.299132646544585	12.0279660152489	13.2030018919904	10.5507193349339	0.131830448783655	10.2917388883564	10.8096997815114
25.3012942895888	0.47760918074648	24.3634028562287	26.2391857229489	12.6536835850443	0.348215992184955	11.9692144814166	13.3381526886721	10.5621621336235	0.140590015254136	10.2859206675751	10.838403599672
25.395522184253	0.524801162812898	24.3647499982057	26.4262943703004	12.8520234923883	0.340201891389798	12.183602300159	13.5204446846175	10.7800051533551	0.124474659594265	10.5355461481316	11.0244641585787
26.3577551641254	0.557738345420011	25.2621597135956	27.4533506146553	13.2200371994622	0.416994477961328	12.3999219027003	14.0401524962242	10.7494008137886	0.125506467041098	10.5028779066682	10.9959237209091
25.1312442927376	0.50992466115444	24.1299032752813	26.1325853101938	12.9297574630908	0.342371027455278	12.2571963440967	13.6023185820848	10.9154471588946	0.116534329151065	10.6866058813949	11.1442884363943
24.6838179885015	0.511991897804062	23.6779900434597	25.6896459335433	12.4137814321939	0.35870492324423	11.7085105388523	13.1190523255355	10.5567695207397	0.129434823061776	10.3025298253417	10.8110092161377
25.3449172802466	0.546577077782803	24.2711425384482	26.418692022045	12.9145914237501	0.379359215291126	12.1689469890656	13.6602358584346	10.5689174332455	0.132180700103286	10.3092356741105	10.8285991923805
26.6907368382347	0.511986075086471	25.6857133369423	27.6957603395271	13.4911805528667	0.351560130682205	12.800491004695	14.1818701010384	10.6162663691789	0.129327139082323	10.3621746529914	10.8703580853664
24.6243590243876	0.448258280967234	23.7441450336606	25.5045730151145	12.4759341101833	0.301791840028683	11.8830545831031	13.0688136372635	10.6314737885034	0.122505453597676	10.3908002271583	10.8721473498485
25.0615002336567	0.512118682568014	24.0555724339058	26.0674280334076	12.3347810621106	0.344272264760257	11.6580076693894	13.0115544548318	10.5792071938058	0.136742938179587	10.3105325629447	10.8478818246668
25.1392996332978	0.447315363634293	24.2612773851986	26.0173218813969	12.3463350471313	0.30262610760754	11.7516547374405	12.9410153568221	10.776067882287	0.120026347078346	10.5403525479066	11.0117832166673
25.857491632736	0.520151952213887	24.8361541379083	26.8788291275638	12.9680576297673	0.36829526373503	12.2441108183932	13.6920044411415	10.7474539067839	0.120739977740522	10.5103888986612	10.9845189149065
25.0858662799433	0.452113391378161	24.1984418015572	25.9732907583294	12.3589883707422	0.324227191758904	11.7218571385079	12.9961196029765	10.7701309417064	0.132297635319883	10.5102689018206	11.0299929815922
25.5920874699217	0.519603116527147	24.5716750731439	26.6124998666994	12.8419948823916	0.35472767557417	12.1448408716242	13.5391488931589	10.5103752389444	0.125227871105363	10.2643852744629	10.7563652034259
26.2712427953731	0.50847625021629	25.2727892660831	27.2696963246631	12.9588844562389	0.331626968190506	12.3072720511748	13.6104968613029	10.6592783717678	0.134547403194884	10.3950332068517	10.9235235366838
24.7394102848562	0.473764065301011	23.8091076459538	25.6697129237587	12.3830597273378	0.346416228297482	11.7020813360828	13.0640381185927	10.647966519282	0.12919379215239	10.3941796942518	10.9017533443123
25.8434724626236	0.518250991227171	24.8259239226414	26.8610210026058	12.8356506483729	0.362886475430599	12.122423613423	13.5488776833227	10.7482264077206	0.124987372563989	10.5026646048513	10.99378821059
