estFinal_msm11	sdFinal_msm11	X1	X2	estFinal_msm10	sdFinal_msm10	X1.1	X2.1	estFinal_msm01	sdFinal_msm01	X1.2	X2.2
25.0127221139259	0.468528590342329	24.094406076855	25.9310381509969	12.5322093502492	0.29962218151584	11.9449498744781	13.1194688260202	10.5304577738384	0.14568013546151	10.2449247083339	10.815990839343
25.3432370880631	0.472399822503946	24.4173334359554	26.2691407401709	12.5699572841362	0.308370173135011	11.9655517447915	13.1743628234808	10.6370387023499	0.156487544656786	10.3303231148226	10.9437542898772
25.16982014392	0.471146608037138	24.2463727921672	26.0932674956728	12.7335003241473	0.309961600740704	12.1259755866956	13.3410250615991	10.5877390933054	0.144708306334802	10.3041108128892	10.8713673737216
24.7600770326828	0.451641132304134	23.8748604133667	25.6452936519989	12.3630340359613	0.288290124994577	11.7979853909719	12.9280826809506	10.6392963740662	0.146816270914794	10.3515364830732	10.9270562650592
24.8999342675567	0.418686436185728	24.0793088526327	25.7205596824807	12.1757417687546	0.26147683350374	11.6632471750873	12.6882363624219	10.5080611524042	0.138231975951938	10.2371264795384	10.77899582527
25.0643326933484	0.477179924864749	24.1290600406135	25.9996053460833	12.7633729336827	0.299528351053912	12.1762973656171	13.3504485017484	10.6053758005625	0.137949482632635	10.3349948146026	10.8757567865225
24.3834669577497	0.405238861333122	23.5891987895368	25.1777351259626	11.99161088967	0.271860815062317	11.4587636921478	12.5244580871921	10.4380451471975	0.144741537591829	10.1543517335176	10.7217385608775
25.8282145886523	0.514318982522073	24.820149382909	26.8362797943955	12.928765236834	0.322056045116071	12.2975353884065	13.5599950852615	10.9707370274389	0.144746404772294	10.6870340740852	11.2544399807926
25.605845398897	0.427352079417719	24.7682353232383	26.4434554745557	12.8737758767525	0.284159681320273	12.3168229013647	13.4307288521402	10.5562267537352	0.142651171433474	10.2766304577256	10.8358230497448
24.7515193275393	0.465985270987873	23.8381881964031	25.6648504586756	12.2872458119082	0.307491763987491	11.6845619544927	12.8899296693236	10.3997485484792	0.153645088126832	10.0986041757507	10.7008929212078
25.3931642396097	0.454748680915637	24.5018568250151	26.2844716542044	12.8525446070782	0.295513757706161	12.2733376419741	13.4317515721823	10.7551218539131	0.138426872396029	10.4838051840169	11.0264385238093
25.2287953878288	0.445937243036391	24.3547583914775	26.1028323841801	12.5640728613064	0.290815454709315	11.9940745700761	13.1340711525366	10.7282061671285	0.145921754898359	10.4421995275277	11.0142128067292
25.5968895090001	0.452600456014348	24.709792615212	26.4839864027882	12.8161530297597	0.293792571011382	12.2403195905774	13.391986468942	10.6199561422506	0.146026168812686	10.3337448513777	10.9061674331234
25.193884926889	0.433117814431176	24.3449740106039	26.0427958431741	12.4665379538305	0.267874091330659	11.9415047348225	12.9915711728386	10.4615255084124	0.138845477454724	10.1893883726012	10.7336626442237
25.3068141393988	0.468686316913771	24.3881889582478	26.2254393205498	12.6286083431819	0.305037229255015	12.0307353738421	13.2264813125217	10.7641401724829	0.148654023761506	10.4727782859103	11.0555020590554
25.409552538713	0.448988243141782	24.5295355821551	26.2895694952709	12.839846024367	0.301052290901327	12.2497835342004	13.4299085145336	10.4927403798543	0.142388613318055	10.213658697751	10.7718220619577
25.8507238511099	0.436569233764085	24.9950481529323	26.7063995492875	13.0037946957625	0.292673004371057	12.4301556071952	13.5774337843297	10.5336220817518	0.138731351083354	10.2617086336284	10.8055355298751
24.7642313087882	0.461624880562992	23.8594465428847	25.6690160746916	12.4508467857874	0.302785326708901	11.8573875454379	13.0443060261368	10.5168878808851	0.141657181757101	10.2392398046412	10.794535957129
25.2590498646496	0.455022756956016	24.3672052610158	26.1508944682834	12.6984101905377	0.293978163538294	12.1222129900027	13.2746073910728	10.5699955115047	0.145256184655122	10.2852933895807	10.8546976334288
24.9290262973349	0.433966072328196	24.0784527955716	25.7795997990982	12.2384161947451	0.286321802247886	11.6772254623392	12.799606927151	10.3393138135232	0.139577673358204	10.0657415737411	10.6128860533053
25.6728060757543	0.469921322616921	24.7517602834251	26.5938518680835	12.7975245982946	0.291989880697706	12.2252244321271	13.3698247644621	10.5693813312041	0.138271705698046	10.298368788036	10.8403938743723
24.6750369502141	0.441251497814377	23.8101840144979	25.5398898859303	12.5048938930579	0.275012604516431	11.9658691882056	13.0439185979101	10.5377804026458	0.140353584626805	10.2626873767772	10.8128734285143
25.7728747781897	0.495535265172452	24.8016256584517	26.7441238979277	12.9932129344336	0.306531883965964	12.3924104418603	13.5940154270069	10.5447985173533	0.150101266487238	10.2506000350384	10.8389969996683
24.7694311656054	0.45929429108135	23.869214355086	25.6696479761248	12.639206310101	0.290029719345964	12.0707480601829	13.2076645600191	10.4436513003655	0.153225121775462	10.1433300616856	10.7439725390454
24.8106831394204	0.42237996192722	23.982818414043	25.6385478647977	12.3787956733988	0.270243231974708	11.8491189387284	12.9084724080692	10.2497333529321	0.134965870074819	9.9852002475855	10.5142664582788
25.0530304164976	0.405253026415615	24.258734484723	25.8473263482722	12.4790949878536	0.272846646212727	11.9443155612766	13.0138744144305	10.7279369939406	0.138609621969973	10.4562621348794	10.9996118530017
25.1590151373294	0.426538586665788	24.3229995074645	25.9950307671944	13.0940837997726	0.288822029235521	12.527992622471	13.6601749770742	10.586727803394	0.141920358675919	10.3085639003892	10.8648917063988
25.5175082731223	0.448272893294307	24.6388934022655	26.3961231439792	12.8429541609049	0.280097697814231	12.293962673189	13.3919456486208	10.7211210454512	0.14134190790783	10.4440909059519	10.9981511849506
